Time	[SRC]	[MIR199b_5p]	[Cav1]	[TGFB3]	[HP199b]	[Sox9mRNA]	[Acan]	[Col2a1]	[MIR199a_5p]	[OtherTargets]	[OtherTargetsRegulators]	[MIR140_5p]	[HP199a]	[SOX9Protein]	[SOX9PhosphoProtein]	[GAG]	
6.93	8.1932	6.68399	13.237	9688.87	0	11.0172	7.16551	9.74193	11.4464	5.38176	0.0113723	7.93419	0	104.234	0.835945	19.3342	
7.14	8.17064	7.06403	12.3616	9679.61	0	11.4277	7.93209	10.978	11.4462	5.26651	0.0113723	8.37953	0	108.186	0.865561	21.721	
7.35	8.15186	7.37851	11.9133	9670.35	0	11.649	8.41626	11.8583	11.4461	5.18116	0.0113723	8.81791	0	110.313	0.881462	23.4494	
7.56	8.13591	7.63873	11.6499	9661.09	0	11.7813	8.70948	12.4528	11.446	5.11647	0.0113723	9.23804	0	111.581	0.8909	24.626	
7.77	8.12206	7.85406	11.4737	9651.85	0	11.8694	8.89024	12.8488	11.4459	5.06657	0.0113723	9.6357	0	112.423	0.897148	25.4306	
7.98	8.10978	8.03224	11.3457	9642.62	0	11.9322	9.00708	13.1145	11.4458	5.02754	0.0113723	10.0096	0	113.022	0.901585	26.0057	
8.19	8.09866	8.17969	11.2484	9633.4	0	11.9783	9.08656	13.2959	11.4457	4.99668	0.0113723	10.3599	0	113.462	0.904842	26.4404	
8.4	8.08841	8.30169	11.1726	9624.18	0	12.0125	9.14277	13.4219	11.4455	4.97208	0.0113723	10.687	0	113.789	0.907256	26.7852	
8.61	8.07881	8.40265	11.1127	9614.98	0	12.0377	9.18342	13.5109	11.4454	4.95233	0.0113723	10.9918	0	114.03	0.909037	27.0684	
8.82	8.0697	8.48619	11.0648	9605.78	0	12.056	9.21299	13.5742	11.4453	4.93639	0.0113723	11.2754	0	114.204	0.910329	27.3065	
9.03	8.06095	8.55532	11.0263	9596.6	0	12.0688	9.2343	13.6194	11.4452	4.92346	0.0113723	11.5388	0	114.327	0.911235	27.5095	
9.24	8.05247	8.61252	10.9952	9587.42	0	12.0773	9.24927	13.6513	11.4451	4.91294	0.0113723	11.7831	0	114.408	0.911836	27.6843	
9.45	8.0442	8.65986	10.9699	9578.25	0	12.0822	9.25925	13.6732	11.4449	4.90436	0.0113723	12.0094	0	114.455	0.912191	27.8356	
9.66	8.03609	8.69902	10.9493	9569.09	0	12.0843	9.26526	13.6874	11.4448	4.89733	0.0113723	12.2189	0	114.476	0.912347	27.967	
9.87	8.02808	8.73143	10.9325	9559.94	0	12.0842	9.26808	13.6957	11.4447	4.89158	0.0113723	12.4126	0	114.475	0.912342	28.0813	
10.08	8.02017	8.75825	10.9187	9550.8	0	12.0821	9.26832	13.6992	11.4446	4.88685	0.0113723	12.5915	0	114.456	0.912204	28.1807	
10.29	8.01233	8.78045	10.9075	9541.67	0	12.0785	9.26645	13.6989	11.4445	4.88297	0.0113723	12.7566	0	114.422	0.911958	28.2672	
10.5	8.00454	8.79881	10.8982	9532.55	0	12.0736	9.26285	13.6956	11.4443	4.87977	0.0113723	12.9088	0	114.376	0.911624	28.3422	
10.71	7.99679	8.81401	10.8906	9523.44	0	12.0677	9.25783	13.6898	11.4442	4.87714	0.0113723	13.0489	0	114.32	0.911215	28.407	
10.92	7.98907	8.82658	10.8843	9514.33	0	12.0609	9.25165	13.682	11.4441	4.87498	0.0113723	13.1779	0	114.256	0.910746	28.4628	
11.13	7.98138	8.83698	10.8792	9505.24	0	12.0534	9.2445	13.6725	11.444	4.87319	0.0113723	13.2966	0	114.185	0.910226	28.5105	
11.34	7.97371	8.84559	10.875	9496.15	0	12.0453	9.23656	13.6617	11.4439	4.87172	0.0113723	13.4055	0	114.109	0.909664	28.551	
11.55	7.96605	8.85272	10.8715	9487.07	0	12.0368	9.22795	13.6497	11.4437	4.87051	0.0113723	13.5054	0	114.027	0.909068	28.585	
11.76	7.95842	8.85861	10.8686	9478.01	0	12.0277	9.21879	13.6367	11.4436	4.8695	0.0113723	13.5971	0	113.942	0.908442	28.6131	
11.97	7.95079	8.86349	10.8663	9468.95	0	12.0184	9.20917	13.623	11.4435	4.86868	0.0113723	13.681	0	113.853	0.907792	28.6359	
12.18	7.94318	8.86753	10.8643	9459.9	0	12.0087	9.19917	13.6086	11.4434	4.868	0.0113723	13.7577	0	113.762	0.907121	28.6539	
12.39	7.93558	8.87087	10.8627	9450.86	0	11.9988	9.18885	13.5937	11.4433	4.86744	0.0113723	13.8277	0	113.668	0.906434	28.6675	
12.6	7.92799	8.87363	10.8614	9441.82	0	11.9887	9.17826	13.5784	11.4431	4.86698	0.0113723	13.8916	0	113.573	0.905732	28.6771	
12.81	7.9204	8.87592	10.8604	9432.8	0	11.9785	9.16745	13.5626	11.443	4.8666	0.0113723	13.9498	0	113.475	0.905018	28.6831	
13.02	7.91283	8.87781	10.8595	9423.79	0	11.9681	9.15646	13.5466	11.4429	4.86629	0.0113723	14.0026	0	113.377	0.904294	28.6858	
13.23	7.90527	8.87938	10.8588	9414.78	0	11.9575	9.14531	13.5303	11.4428	4.86603	0.0113723	14.0506	0	113.277	0.903562	28.6855	
13.44	7.89771	8.88067	10.8582	9405.79	0	11.9469	9.13403	13.5137	11.4427	4.86582	0.0113723	14.094	0	113.176	0.902822	28.6824	
13.65	7.89016	8.88175	10.8577	9396.8	0	11.9362	9.12264	13.497	11.4425	4.86565	0.0113723	14.1332	0	113.075	0.902077	28.6769	
13.86	7.88262	8.88263	10.8574	9387.82	0	11.9254	9.11116	13.4801	11.4424	4.86551	0.0113723	14.1685	0	112.972	0.901326	28.669	
14.07	7.87509	8.88337	10.8571	9378.85	0	11.9145	9.0996	13.4631	11.4423	4.8654	0.0113723	14.2002	0	112.869	0.900571	28.659	
