,D1.log2fc,D3.log2fc,D6.log2fc,D10.log2fc,D14.log2fc,ID,dataType
hsa-let-7a-2,-0.453086,-0.5979695,-0.349413,-0.5287075,-0.517372,406882,L
hsa-let-7b,-0.1828075,-0.5109215,-0.8543755,-0.431807,-0.37995,406884,L
hsa-let-7d,0.1055515,0.544159,0.7416965,0.454508,0.596869,406886,L
hsa-let-7e,0.368134,0.354766,0.5901225,0.628861,0.7255935,406887,L
hsa-let-7f,0.1948,0.631702,0.8214655,0.3799185,0.6545535,NA,L
hsa-let-7f1,-0.3276645,-0.3653635,-0.5780615,-0.195572,-0.2057555,NA,L
hsa-let-7i,-0.299171,-0.498641,-0.6303275,-0.3179945,-0.1953455,406891,L
hsa-miR-101,0.0186155,0.500505,0.639255,0.84855,1.241754,NA,L
hsa-miR-103a,0.025281,0.1807575,0.3458285,0.555056,0.720772,NA,L
hsa-miR-105,0.918174,0.673708,0.357143,0.199688,0.6675515,NA,L
hsa-miR-107,-0.133537,-0.1144705,0.135009,0.3170635,0.6821375,406901,L
hsa-miR-10a,-0.1803385,-0.4685085,-0.6527855,-0.943493,-0.725884,406902,L
hsa-miR-1184,-1.338848,-1.6086545,-2.9714805,-3.81085,-3.2589885,NA,L
hsa-miR-1204,-0.29849,-0.276402,-0.430066,-0.8398315,-0.3016505,100302185,L
hsa-miR-1207-3p,-0.054249,-0.08236,0.4676075,1.6465135,1.060645,100302175,L
hsa-miR-1228,-0.163688,-0.278711,-0.4660775,-0.713916,-0.342007,100302201,L
hsa-miR-1234,0.296674,1.9562795,3.420209,3.5957165,4.56691,100302196,L
hsa-miR-1238,0.1487005,0.7083955,0.9294065,1.1581435,1.3910445,100302226,L
hsa-miR-124,0.489777,0.4378935,0.552895,0.823106,0.5589855,NA,L
hsa-miR-1244,0.4324425,0.728991,0.5190705,0.500576,0.4205195,NA,L
hsa-miR-1246,1.5097605,1.6197765,1.9894925,4.4664875,4.334517,100302142,L
hsa-miR-1250,0.2841215,0.420502,0.5146185,0.28343,0.3568725,100302229,L
hsa-miR-1255a,0.539623,0.634639,0.804097,0.20729,-0.0432105,100302193,L
hsa-miR-125a-5p,0.27091,0.2608295,0.3866325,0.454426,0.5747685,406910,L
hsa-miR-125b-1,-0.619179,-0.9998645,-1.2348995,-1.1216635,-1.08792,406911,L
hsa-miR-1262,-0.669204,-0.422843,-0.708664,-0.721383,-0.7938815,100302279,L
hsa-miR-1271,0.1408705,0.2617215,0.3832745,0.4530465,0.6110505,100302203,L
hsa-miR-1272,-0.3706,-0.580891,-0.3128155,-0.290553,-0.626166,100302184,L
hsa-miR-1275,0.27997,0.276018,1.633387,1.6813375,1.065805,100302123,L
hsa-miR-127-5p,-0.489664,-0.7559695,-0.883345,-0.1900635,-0.3685075,406914,L
hsa-miR-1276,0.4737545,0.2039345,0.2235365,0.6866795,0.813175,100302121,L
hsa-miR-1284,-0.3516935,-0.2882415,-0.3198665,-0.446016,-0.2808265,100302112,L
hsa-miR-1290,1.869218,2.027741,2.5679435,4.410206,4.2868965,100302276,L
hsa-miR-1297,-0.030634,0.435879,0.9173975,0.743888,1.3110405,100302187,L
hsa-miR-1298,-0.283947,-0.701181,-0.7505815,-1.0633975,-0.75501,100302153,L
hsa-miR-1299,0.4667415,0.7225315,0.834306,0.651883,0.4086865,100302167,L
hsa-miR-130a,-0.2028855,-0.460603,-0.694721,-0.803747,-0.678022,406919,L
hsa-miR-133b,-0.0199395,0.1481685,0.7660755,0.156892,0.095821,442890,L
hsa-miR-135b,0.9230165,1.80486,1.886177,2.429648,2.7648525,442891,L
hsa-miR-136,-0.450624,-0.997323,-1.3101905,-0.8742235,-0.5757925,406927,L
hsa-miR-138,0.034301,0.4649115,0.6583235,0.659686,0.6903475,NA,L
hsa-miR-1381,-0.7858645,-0.3098905,-0.4037205,-0.9648285,-0.9175675,NA,L
hsa-miR-140-3p,2.028253,4.9533355,7.0160935,7.844643,8.358949,406932.1,L
hsa-miR-140-5p,2.571824,5.3779345,7.147526,8.0823045,8.6407345,406932.2,L
hsa-miR-141,0.0731235,0.442021,1.27909,0.6350185,0.970809,406933,L
hsa-miR-143,0.966041,0.777759,0.904856,0.837704,0.957557,406935,L
hsa-miR-145,0.813617,0.9077765,0.9486565,1.00677,1.1733545,406937,L
hsa-miR-1469,0.4144195,0.0730965,-1.2175715,-0.9077785,-0.7255335,100302258,L
hsa-miR-146a,-0.3056825,-0.4972585,-0.702422,-0.388763,-0.823456,406938,L
hsa-miR-146b-5p,-0.2673905,-0.324737,-0.441212,-0.313979,-0.240734,574447,L
hsa-miR-147,-0.0966905,-0.2085865,-0.3012375,-0.608958,-0.2261715,NA,L
hsa-miR-1470,-0.2843525,-0.3155315,-0.7310385,-0.0686235,-0.006702,100302127,L
hsa-miR-148a,0.5508155,1.9717345,3.166045,3.404082,3.8617105,406940,L
hsa-miR-148b,-0.003385,0.4102245,0.763309,0.933208,1.30681,442892,L
hsa-miR-149,0.21345,0.08114,0.259008,1.323053,1.221481,406941,L
hsa-miR-150,0.064092,-0.0410545,0.6475205,0.537455,0.1514925,406942,L
hsa-miR-151-5p,0.178512,0.52604,1.1084405,1.3165625,1.7865795,NA,L
hsa-miR-152,0.4347365,1.367188,1.9272875,2.2080515,2.527909,406943,L
hsa-miR-155,0.1333245,-0.323987,-0.7093125,-0.8988705,-0.9017715,406947,L
hsa-miR-15a,0.2308155,0.4747155,0.4632005,0.3686725,0.3773935,406948,L
hsa-miR-15b,-0.1204675,-0.084118,-0.247821,-0.5981985,-0.407127,406949,L
hsa-miR-161,0.200804,-0.150636,-0.78669,-1.0996105,-1.145286,NA,L
hsa-miR-17,0.6976605,0.7811075,0.7828805,1.0300535,1.1498345,406952,L
hsa-miR-181a,1.255303,2.668766,2.356613,2.1955085,2.120915,NA,L
hsa-miR-181b,0.7959755,2.344696,2.3204555,1.7211645,1.701496,NA,L
hsa-miR-181d,0.7758505,2.149468,2.2068335,1.7008795,1.6572615,574457,L
hsa-miR-1827,0.4596435,0.6307105,0.820568,0.5579835,0.5470605,100302217,L
hsa-miR-183,1.5919815,1.030689,-2.0839765,-0.041561,-2.178438,406959,L
hsa-miR-186,-0.1746145,0.1120975,0.528682,0.5972815,0.8909505,406962,L
hsa-miR-18a,-0.007752,0.0006185,-0.3888715,-0.792355,-0.790251,406953,L
hsa-miR-190,0.085966,0.185685,0.4148095,0.4410395,0.554842,NA,L
hsa-miR-191,0.0320695,0.2947535,0.7634825,0.8168515,0.988719,406966,L
hsa-miR-1912,-0.5257465,-0.565384,-0.5122625,-0.543609,-0.6199745,100302144,L
hsa-miR-1914,-0.7834675,-1.502209,-2.4664425,-2.99333,-2.5111735,100302137,L
hsa-miR-1915,0.5729325,0.41104,-0.1669205,0.1921305,0.018576,100302129,L
hsa-miR-193a-5p,-0.075228,-0.534811,-0.53455,-0.698806,-0.5123195,406968,L
hsa-miR-193b,0.9593065,1.0602945,1.526978,2.085616,1.953438,574455,L
hsa-miR-194,-0.059108,-0.256248,-0.7773405,-0.518812,-0.862533,NA,L
hsa-miR-195,0.043497,1.261591,2.0068955,2.0766785,2.566646,406971,L
hsa-miR-196b,-0.66297,-0.6466665,-0.834819,-0.893143,-0.8272015,442920,L
hsa-miR-1973,-0.6362405,-0.8936495,-1.53438,-1.3247325,-1.539008,100302290,L
hsa-miR-199a-3phsa-miR-199b-3p,0.3424145,0.336871,0.65281,0.433887,0.666784,NA,L
hsa-miR-199a-5p,0.6390655,0.847431,1.04677,1.1657345,1.349334,406976,L
hsa-miR-199b-5p,0.907299,2.8372165,3.761747,3.644632,4.031762,406978,L
hsa-miR-19b,0.059743,0.506322,0.421431,0.309981,0.590248,NA,L
hsa-miR-205,-0.350323,-0.5084355,-0.7030555,-0.848594,-0.7615275,406988,L
hsa-miR-20b,0.660843,0.777849,0.440668,0.158367,0.038597,574032,L
hsa-miR-21,-0.0087105,-1.1461305,-2.2759145,-2.14223,-2.4298495,406991,L
hsa-miR-210,1.3506455,2.826908,3.577972,3.698333,3.877254,406992,L
hsa-miR-2115,-0.467194,-0.6353245,-0.902753,-1.013271,-1.105739,100313840,L
hsa-miR-214,0.5186955,0.693825,0.9333585,1.0012015,1.233922,406996,L
hsa-miR-218,-0.3543515,-0.9478275,-1.234069,-1.338607,-1.360865,NA,L
hsa-miR-2181,-0.657247,-0.7881375,-0.8271625,-0.763492,-1.0935735,NA,L
hsa-miR-2182,0.331402,0.7741735,0.572088,0.7395625,0.5978805,NA,L
hsa-miR-22,0.0741375,-0.0204685,0.4983765,0.612468,0.8002795,407004,L
hsa-miR-221,-0.380734,-0.862207,-0.9917005,-1.1362825,-1.1395905,407006,L
hsa-miR-222,-2.562699,-2.84144,-1.993317,-2.6390505,-2.383878,407007,L
hsa-miR-224,-0.3947635,-0.5868495,-0.3979385,-0.510863,-0.138686,407009,L
hsa-miR-2278,0.689851,0.905554,0.601236,0.5414095,0.476827,100313780,L
hsa-miR-23a,0.6313435,0.397523,0.5566705,0.7919435,1.1988395,407010,L
hsa-miR-23b,0.486959,0.55435,0.8146285,1.3541075,1.8754225,407011,L
hsa-miR-23c,-0.054891,0.692712,1.2128505,1.3869995,2.0116085,100500809,L
hsa-miR-24,0.5390195,0.743984,0.964485,1.091452,1.4167965,NA,L
hsa-miR-241,0.6605055,0.6329245,0.8364165,0.8778755,1.1833955,NA,L
hsa-miR-242,-0.061144,-0.1531915,-0.163977,0.6237045,0.8367595,NA,L
hsa-miR-25,-0.531746,-1.0247195,-1.7802705,-1.9859265,-1.896024,407014,L
hsa-miR-26a,0.52657,1.018187,1.5262055,1.8138485,1.989664,NA,L
hsa-miR-26b,0.2139665,0.5748515,0.945068,0.9781005,1.1312505,407017,L
hsa-miR-27a,-0.0672155,-0.8232955,-0.5892145,-0.7077855,-0.543871,407018,L
hsa-miR-27b,0.4709085,0.7421025,0.792794,0.7962525,0.881933,407019,L
hsa-miR-2964a-5p,0.884291,0.8328355,0.524643,0.816626,1.1866555,NA,L
hsa-miR-299-5p,0.3144155,-0.0269735,-0.0994775,1.100539,0.83874,407023,L
hsa-miR-29a,-0.484632,-0.9766745,-1.273129,-1.248777,-1.007598,407021,L
hsa-miR-29b,-2.4269835,-2.1449545,-1.5715785,-1.2255915,-1.035206,NA,L
hsa-miR-29b-1,-0.591841,-0.689577,-0.6671445,-0.6782105,-0.8459415,407024,L
hsa-miR-29c,-1.753976,-1.772215,-1.7845365,-1.7396925,-1.016504,407026,L
hsa-miR-300,0.590779,0.52988,0.701086,1.0672085,0.594811,100126297,L
hsa-miR-302a,0.4625445,0.543853,1.1593225,1.03758,1.0712675,407028,L
hsa-miR-302f,0.0871805,0.5527545,0.064127,0.3274495,0.1244885,100302131,L
hsa-miR-30b,-0.0419305,0.2909815,0.6221965,0.803281,1.1198585,407030,L
hsa-miR-30c,-0.439591,-0.027081,0.074897,0.1367285,0.503539,NA,L
hsa-miR-30c1,-0.017956,0.2593295,1.471344,1.958697,1.5796145,NA,L
hsa-miR-30d,-0.34448,0.0475635,0.402341,0.5952735,0.9409105,407033,L
hsa-miR-30e,-0.0773615,-0.008045,0.1765755,0.447635,0.7434425,407034,L
hsa-miR-31,-0.1863675,-0.6449515,-1.1590065,-1.361018,-1.3000145,407035,L
hsa-miR-3116,-0.47721,-0.5601675,-1.0411545,-0.865529,-1.180516,NA,L
hsa-miR-3123,-0.719571,-0.572778,-0.5260775,-0.445866,-0.5245375,100422856,L
hsa-miR-3124-5p,-0.585512,0.5492665,-1.1180895,-0.69126,-1.2779065,100422879,L
hsa-miR-3126-3p,0.3104185,0.18213,0.1190095,0.5213585,0.702159,100423030,L
hsa-miR-3135,-0.3519085,-0.4898665,-0.9917995,-1.8350185,-1.3681095,NA,L
hsa-miR-3138,-0.0858805,-0.433681,-0.0426285,-0.525145,-0.130598,100423011,L
hsa-miR-3145-3p,-0.5227815,-0.21974,-0.5767555,-0.30436,-0.500561,100423001,L
hsa-miR-3170,-0.5775635,-0.831153,-1.189848,-1.029936,-1.0950145,100422881,L
hsa-miR-3175,0.251358,0.62496,-0.145069,-0.549418,-0.954686,100422995,L
hsa-miR-3177-3p,0.720703,0.6592235,0.3840145,0.4459145,0.7304105,100423012,L
hsa-miR-3178,0.259919,-0.662375,-1.745272,-1.7270965,-1.2391985,100422974,L
hsa-miR-3179,-0.6820595,-0.860747,-0.80634,-1.169578,-1.07488,NA,L
hsa-miR-3186-5p,0.2812285,0.5749795,0.4532435,0.752572,0.4011815,100422944,L
hsa-miR-3188,-0.503857,-0.284405,-0.581187,-0.398124,-0.656395,100422833,L
hsa-miR-3192,0.2786745,0.090794,0.143727,0.5539415,0.056027,100422875,L
hsa-miR-3193,0.5166805,0.3457155,0.6799625,0.336585,0.3963915,100422904,L
hsa-miR-3195,-0.44453,-0.757157,-1.149677,-0.642259,-0.3323995,100422838,L
hsa-miR-3196,-0.3918925,-0.7833705,-0.9405655,0.9133075,0.52937,100423014,L
hsa-miR-3197,0.0635645,0.2463765,0.177738,0.645529,0.2081925,100423023,L
hsa-miR-320a,0.33903,0.6110165,1.315142,1.4383535,1.4647245,407037,L
hsa-miR-320b,0.3107575,0.576062,1.201357,1.331946,1.36231,100302117,L
hsa-miR-320c,0.615295,0.684754,1.3427975,1.697251,1.741678,100302135,L
hsa-miR-320d,0.4145715,0.6800715,1.324787,1.616274,1.754537,100313896,L
hsa-miR-320e,0.369076,0.6413325,1.369077,1.490794,1.678727,100422913,L
hsa-miR-323b-3p,-0.8841785,-0.623395,-0.454528,-0.0495185,0.6462545,574410,L
hsa-miR-324-5p,0.300475,0.5801295,0.6603565,1.244202,1.4648885,442898,L
hsa-miR-326,0.80995,0.591363,1.626038,2.2812105,1.701975,442900,L
hsa-miR-328,0.155013,0.3266845,0.7714165,0.951223,1.134511,442901,L
hsa-miR-329,-0.6304625,-0.755838,-0.8421985,-0.5964065,-0.8799625,NA,L
hsa-miR-331-3p,-0.4629035,-0.6495915,-0.428952,-0.2924705,0.1015485,442903.1,L
hsa-miR-331-5p,0.034893,0.1007895,0.61721,0.5700265,0.348321,442903.2,L
hsa-miR-335,-0.733955,-1.1851745,-1.4511655,-1.777617,-1.716408,442904,L
hsa-miR-337-3p,-0.254769,-0.688069,-0.752693,-0.7946715,-0.6993705,442905.1,L
hsa-miR-337-5p,-0.3658685,-0.8896405,-0.981208,-0.7950105,-0.7690075,442905.2,L
hsa-miR-338-5p,0.6791525,0.575337,0.727286,0.2670515,0.068894,442906,L
hsa-miR-339-3p,-0.343464,-1.2514375,-1.0968495,-0.4786385,-0.5438525,442907.1,L
hsa-miR-339-5p,-0.227205,-0.0568245,0.75277,0.7690135,1.086214,442907.2,L
hsa-miR-33a,-0.729218,-0.6426995,0.421351,0.7463075,1.068623,407039,L
hsa-miR-33b,0.037619,0.3427705,0.6491345,1.1513295,1.519182,693120,L
hsa-miR-342-3p,0.6810885,0.8650435,1.0472015,1.0399965,1.3265055,442909.1,L
hsa-miR-342-5p,0.4411625,0.354857,0.379369,0.0991225,-0.086371,442909.2,L
hsa-miR-34a,-0.5966985,-0.425027,-0.618823,-0.200792,-0.257756,407040,L
hsa-miR-361-3p,0.266566,0.452236,-0.0078335,0.2064485,0.081569,494323.1,L
hsa-miR-361-5p,0.2213005,0.252682,0.660496,0.6854285,0.7660705,494323.2,L
hsa-miR-3619-5p,0.430807,0.4375275,0.4038405,0.642036,0.3648135,100500828,L
hsa-miR-3621,-0.4770005,-0.9067,-1.6686185,-2.088136,-1.603491,100500811,L
hsa-miR-363,0.6398495,0.772696,1.010435,0.565049,0.6292035,574031,L
hsa-miR-3647-5p,0.2711645,0.4964325,0.5130125,0.75876,0.890164,NA,L
hsa-miR-3648,1.1646465,1.357487,0.2704085,0.746177,-0.101774,NA,L
hsa-miR-3651,1.3188485,1.4422425,1.6820945,1.679415,1.762151,100500918,L
hsa-miR-3653,0.168895,0.2008755,0.3437305,0.425173,0.613113,NA,L
hsa-miR-3654,-0.0079355,1.1890905,1.044739,0.6149225,0.6083065,100500804,L
hsa-miR-3656,-0.1767325,-0.1292655,-0.5717935,-0.347456,-0.38316,NA,L
hsa-miR-3663-5p,0.448422,0.546585,1.296065,0.599078,0.4814855,100500893,L
hsa-miR-3665,-0.1474505,0.339716,-0.6805555,-0.812273,-0.7200655,100500861,L
hsa-miR-3685,-0.018031,0.107973,-0.802902,-1.062644,-1.415679,100500802,L
hsa-miR-3686,0.255979,0.806135,1.4155525,0.8090505,0.949671,100500839,L
hsa-miR-3687,0.2545415,-0.232333,0.679386,0.3395155,-0.058576,NA,L
hsa-miR-3690,0.1479175,0.477619,1.5522595,0.780137,0.8119545,100500894,L
hsa-miR-369-3p,-0.051642,-0.482421,-0.66577,-0.2235655,-0.045865,442914,L
hsa-miR-371-5p,0.6329875,1.0355865,-0.1895915,-0.102548,0.239539,NA,L
hsa-miR-373,0.1345585,0.225846,-0.9207725,-0.978449,-0.858833,442918,L
hsa-miR-374a,-0.3017055,-0.617582,-0.9475065,-0.923684,-0.7597315,442919,L
hsa-miR-374b,-0.4617815,-0.723871,-0.6916535,-0.859366,-0.673374,100126317,L
hsa-miR-374c,-0.002273,-0.441826,-0.638512,-0.931041,-0.8422045,100500807,L
hsa-miR-376c,-0.127111,-0.91193,-1.0000915,-0.5718505,-0.2690005,442913,L
hsa-miR-377,-0.389472,-1.0098185,-1.1513935,-0.835124,-0.6766045,494326,L
hsa-miR-378,0.07822,0.4217,1.1819955,1.0221585,0.879056,NA,L
hsa-miR-381,-0.0623115,-0.6063825,-1.270089,-1.1052495,-0.745164,494330,L
hsa-miR-3929,0.0934145,0.044902,0.428819,0.0607085,0.0375915,100500864,L
hsa-miR-3941,0.0939305,-0.6339375,-0.5619995,-1.098841,-1.3548425,100500866,L
hsa-miR-409-3p,0.0499355,-0.6494785,-0.7555855,-0.844744,-0.3384985,574413.1,L
hsa-miR-409-5p,-0.2204485,-0.9633895,-0.888179,-0.9082055,-0.8635665,574413.2,L
hsa-miR-411,-0.7409405,-1.14507,-0.642701,-0.4525285,-0.5778215,693121,L
hsa-miR-421,0.334168,0.5760245,-0.054404,-0.099883,-0.1604735,693122,L
hsa-miR-423-3p,0.4677455,0.2034925,0.72459,0.7998955,1.171191,494335.1,L
hsa-miR-423-5p,0.0923485,0.217579,0.1034925,0.5754645,0.8498755,494335.2,L
hsa-miR-424,0.0861185,-0.1313765,0.6981885,0.9602425,1.4841415,494336,L
hsa-miR-425,0.305497,0.333588,0.9642795,0.7404075,0.70993,494337,L
hsa-miR-4251,-0.471613,-0.836489,-0.816311,-1.012416,-0.6688795,100422968,L
hsa-miR-4260,-0.725279,-0.9902165,-1.114993,-1.34027,-0.8564325,100422894,L
hsa-miR-4262,0.533221,1.0644305,1.1702845,1.244299,1.6007005,100422996,L
hsa-miR-4273,-0.34675,-0.627761,-0.965696,-1.145267,-1.1416605,100422955,L
hsa-miR-4284,-0.203596,-0.345949,-0.850919,-0.700967,-0.962071,100422948,L
hsa-miR-4286,-0.6410295,-0.6460155,-0.7541145,-0.549279,-0.133768,100422982,L
hsa-miR-4288,-0.675944,-1.21453,-1.3338,-1.559295,-1.6378105,100422903,L
hsa-miR-4289,-0.3384525,-0.125421,0.051944,0.009724,0.5198635,100423015,L
hsa-miR-4290,-0.0345225,0.04205,0.0858185,0.948127,0.4799575,100422963,L
hsa-miR-4291,0.123256,0.7648535,0.7799465,0.7447685,1.0855,100422927,L
hsa-miR-4299,-0.053353,0.137001,0.689978,-0.0303425,-0.0444735,100423026,L
hsa-miR-4301,0.0605135,-0.1466095,-0.5799975,-0.8713125,-0.984751,100422855,L
hsa-miR-4308,0.004142,0.259223,1.2224185,0.703485,0.809879,100422984,L
hsa-miR-431,0.093712,-0.062313,-0.394647,-0.363928,-0.703618,574038,L
hsa-miR-4314,-0.7532715,-0.7963675,-0.6985735,-0.7530445,-0.8542955,100422983,L
hsa-miR-4317,0.5247665,0.8579155,0.917189,0.8938995,1.120066,100422840,L
hsa-miR-4324,-0.064788,-0.4111905,-0.5228515,-0.7555625,-0.371734,100422979,L
hsa-miR-4328,0.5898065,0.8527065,0.7658625,0.5315355,0.859839,100422932,L
hsa-miR-4329,-0.3798065,-0.5583695,-0.782916,-1.1774595,-0.988778,100423009,L
hsa-miR-433,0.404011,0.239347,-0.015016,0.5145175,0.824606,574034,L
hsa-miR-451,-0.004851,-0.2991785,-0.3200565,1.9648285,1.3566265,NA,L
hsa-miR-455-3p,1.1153525,3.715934,4.501273,4.5478445,4.7305165,619556.1,L
hsa-miR-455-5p,0.311947,2.699685,3.4402825,3.54972,3.77088,619556.2,L
hsa-miR-483-5p,0.2728495,0.1940735,0.1654015,1.152729,0.830651,619552,L
hsa-miR-485-3p,0.2062475,0.0672805,0.746199,0.6284205,0.3218845,574436,L
hsa-miR-490-3p,-0.2814385,-0.219267,0.715392,0.715501,0.8645545,574443,L
hsa-miR-491-5p,-0.0140185,0.081771,0.185542,0.4899565,0.621096,574444,L
hsa-miR-492,-0.392828,-0.3452355,-0.997201,-0.6711125,-0.364738,574449,L
hsa-miR-493,-0.629219,-1.0560055,-0.970592,-0.6701945,-0.6116775,574450,L
hsa-miR-494,-0.973069,-1.1410085,-1.3969445,-1.496148,-1.184602,574452,L
hsa-miR-497,0.1460745,1.264815,2.333202,2.6035325,3.069197,574456,L
hsa-miR-500a,0.175706,0.407923,0.585414,0.3929875,0.4329965,574502,L
hsa-miR-508-5p,0.026277,0.2079295,0.9616405,0.500959,0.3698995,574513,L
hsa-miR-513a-3p,-1.165581,-0.2073665,-0.0561915,0.239973,0.1649045,NA,L
hsa-miR-513a-5p,0.0714225,0.1493115,1.0990445,-0.0571405,0.0360855,NA,L
hsa-miR-515-3p,0.323269,0.513309,0.3256265,0.785459,0.855565,NA,L
hsa-miR-518ehsa-miR-519ahsa-miR-519b-5phsa-miR-519c-5phsa-miR-522hsa-miR-523,0.1508075,-0.328617,-1.265702,-1.3222505,-1.2801165,NA,L
hsa-miR-520d-3p,0.015067,-0.449308,-0.200901,-0.4056655,-0.619725,574482,L
hsa-miR-525-5p,-0.384249,-0.315269,-0.5609525,-0.6952925,-0.4985215,574470,L
hsa-miR-526b,-0.735068,-0.5259885,-0.661767,-0.673363,-0.7058625,574468,L
hsa-miR-532-3p,-0.2517505,-0.697171,-0.428509,-0.6695745,-0.463827,693124,L
hsa-miR-542-5p,-0.385448,-0.8239195,-0.163385,1.2964205,0.7446115,664617,L
hsa-miR-545,-0.4022885,-0.4245,-0.8057855,-0.4860925,-0.323016,664614,L
hsa-miR-548d-5p,-0.7470745,-0.4458545,-0.477118,-0.867979,-0.398573,NA,L
hsa-miR-548e,-0.2607445,-0.0680065,-0.2167395,0.1970145,0.9192255,100313921,L
hsa-miR-548k,0.835658,0.892414,0.7416525,1.187467,0.855725,100313770,L
hsa-miR-548o,-0.4391755,-0.4128505,-0.470527,-0.7477965,-0.460038,100313829,L
hsa-miR-548t,0.266606,0.346505,0.90878,0.3708045,0.308484,100422849,L
hsa-miR-550a,0.2267235,-0.2661495,1.141447,0.125468,0.0304055,NA,L
hsa-miR-550b,0.0618865,0.2598845,1.043823,0.7167595,0.8574255,NA,L
hsa-miR-552,-1.0551675,-1.599286,-1.4675455,-1.963347,-1.7827815,693137,L
hsa-miR-553,0.0688435,0.5523755,0.960112,0.7907735,0.889632,693138,L
hsa-miR-574-3p,0.4823805,0.714606,1.264734,1.751085,2.0055755,693159.1,L
hsa-miR-574-5p,0.4249225,0.6539055,0.883577,0.768775,0.8049725,693159.2,L
hsa-miR-580,-0.477787,-0.0429445,-0.2498495,-0.1632335,-0.7390945,693165,L
hsa-miR-581,0.577051,0.396948,0.507258,0.292112,0.5313685,693166,L
hsa-miR-584,-0.494085,-0.7005535,-1.7398915,-2.1960055,-1.8229785,693169,L
hsa-miR-585,0.4008925,0.5385555,-0.6525855,-1.062585,-0.8697535,693170,L
hsa-miR-596,-0.344039,-0.662712,-0.741567,-1.1647865,-0.7631035,693181,L
hsa-miR-600,-0.522768,-0.3319355,-0.709337,-0.8772245,-0.932711,693185,L
hsa-miR-601,-0.2050245,0.544337,0.6396215,0.6516065,0.543968,693186,L
hsa-miR-605,-0.568689,-0.6738915,-0.843632,-0.9877665,-0.906585,693190,L
hsa-miR-608,-0.2111285,-0.6521065,-0.661666,-0.889993,-0.766475,693193,L
hsa-miR-612,-0.2055005,-0.31352,-0.734357,-0.822124,-0.509113,693197,L
hsa-miR-616,-0.573084,-0.6706085,-0.664965,-1.1071215,-0.964496,693201,L
hsa-miR-625,0.21353,-0.112643,-1.337936,-0.924184,-1.075882,693210,L
hsa-miR-628-3p,-0.030611,0.486096,0.6712535,1.155945,1.044098,693213,L
hsa-miR-630,0.4531935,0.424966,1.0941425,1.4396835,1.100231,693215,L
hsa-miR-631,-0.0525035,0.000835,-0.0123665,0.6301615,0.389055,693216,L
hsa-miR-632,0.8669385,0.655197,0.7338725,0.8129225,0.122815,693217,L
hsa-miR-635,-0.6532485,-1.712023,-1.51003,-1.4203745,-1.325429,693220,L
hsa-miR-638,0.2520725,0.401721,-0.5711595,-0.1779935,-0.4014795,693223,L
hsa-miR-642a,0.2779665,0.580542,0.698822,1.148949,0.956875,693227,L
hsa-miR-642b,-0.0277875,-0.3793825,-1.525664,-1.25619,-1.059071,100500845,L
hsa-miR-643,0.723228,0.328673,0.1636885,0.273527,0.0165565,693228,L
hsa-miR-644,-0.215275,-0.5152435,-0.4091975,-0.5857945,-0.718703,NA,L
hsa-miR-645,0.175824,0.578243,0.710141,0.033505,-0.119746,693230,L
hsa-miR-654-3p,-0.10689,-0.6674045,-0.7509345,-0.6929105,-0.7248725,724024.1,L
hsa-miR-654-5p,0.235385,0.5337545,-0.5729725,-0.130596,0.8138365,724024.2,L
hsa-miR-655,-0.4315815,-0.4625485,-0.701586,-0.871847,-0.578225,724025,L
hsa-miR-659,-0.056543,0.123237,0.5406265,1.1762465,1.0102405,724029,L
hsa-miR-660,-0.2583425,0.1007635,0.200821,0.152451,0.3600845,724030,L
hsa-miR-663,0.076642,0.07293,-0.5626795,-0.9356915,-0.8861085,NA,L
hsa-miR-671-5p,0.385629,1.0423445,0.8884145,1.3494115,0.9006795,768213,L
hsa-miR-675,-0.0673255,-0.047296,0.6396845,1.3989805,1.0147475,100033819,L
hsa-miR-7,0.115892,0.2958715,-0.079932,-0.250471,-0.5628045,NA,L
hsa-miR-708,-0.485299,-1.0976975,-1.3327105,-1.6583425,-1.7818345,100126333,L
hsa-miR-71,-0.763208,-0.6647575,-0.3448395,-0.826664,-0.558917,NA,L
hsa-miR-711,0.3277585,-0.136134,1.0289855,3.213755,2.823549,100313843,L
hsa-miR-72,-0.425449,-0.4413165,-0.4190205,-0.484054,-0.606868,NA,L
hsa-miR-744,0.0465605,-0.1353315,-0.0682735,0.8103705,0.823883,100126313,L
hsa-miR-762,-0.291108,-0.102874,-0.9600275,-1.32117,-1.2211315,100313837,L
hsa-miR-764,-0.1140045,0.3626355,1.0052555,0.3093555,0.551065,100313838,L
hsa-miR-767-5p,0.3179235,0.0822955,-0.0404635,-0.452057,-0.3964175,768215,L
hsa-miR-769-5p,0.4191855,0.6542025,0.8217875,1.2594665,1.396697,768217,L
hsa-miR-874,-0.15847,-0.5197065,-1.564955,-1.552119,-1.2769645,100126343,L
hsa-miR-875-3p,-1.282282,-0.561332,0.543422,0.179593,0.46643,100126309,L
hsa-miR-877,0.164126,0.4700085,0.565629,0.613037,0.36886,100126314,L
hsa-miR-890,0.498885,1.0414785,1.0298525,1.1474505,0.908893,100126303,L
hsa-miR-921,0.217715,0.114864,-0.0620805,-0.5650305,-0.670023,100126349,L
hsa-miR-92a,0.5861885,0.4371045,0.260152,0.263148,0.3566125,NA,L
