,D1.log2fc,D3.log2fc,D6.log2fc,D10.log2fc,D14.log2fc,ID,dataType
LOC650494,-0.4693360168,1.5474752773,-0.0116100548,0.4865762265,-0.2449808007,NA,L
LOC650517,-0.0400871215,0.2703869822,0.3862882097,0.3142876786,0.2877931471,NA,L
LOC650518,0.3844900052,0.2276831951,-0.1155072118,0.0016415405,-0.22278852,NA,L
LOC650546,-0.1141886023,-0.4064210622,-0.42916424,-0.5934033244,-0.429415598,NA,L
LOC650646,0.0797764253,-0.0099137903,-0.049098218,0.2429347717,0.2358194795,NA,L
LOC650695,-0.1574853114,0.1731299769,0.8352748133,0.7696760264,0.9695305073,NA,L
LOC650706,-0.2319246831,0.041742157,-0.052527642,-0.1262441802,-0.1735366464,NA,L
LOC650781,0.088049811,0.1939067763,0.442376005,-0.0304001014,-0.0139506662,NA,L
LOC650803,-0.145616009,-0.2778805638,0.5421473181,0.3161800644,0.1749084679,NA,L
LOC650826,0.1075524218,0.4284601345,0.2724265251,0.4985444818,0.4470082086,NA,L
LOC650832,-0.9568636208,-1.0488243548,-0.6284875774,-0.9967176444,-0.851151651,NA,L
LOC650843,-0.0513597035,0.2273616496,0.3093548741,0.4739263403,0.4027793649,NA,L
LOC650950,0.0743883814,0.1876298181,0.3084632921,0.204304558,0.2914883099,NA,L
LOC651004,0.1706924139,0.1871492468,-0.0507930796,0.0136576253,0.2193692749,NA,L
LOC651064,0.4253260759,0.2951444971,0.3724788126,0.5864356218,0.5504212301,NA,L
LOC651131,0.5322942581,0.1156942206,-0.0162117699,0.3181329593,0.1741409978,NA,L
LOC651137,0.175023808,0.2384597538,0.7818339108,0.3894695101,0.2525982459,NA,L
LOC651143,-0.0981158719,-0.4658756624,-0.5828613109,-0.2911940986,-0.2543756052,NA,L
LOC651198,-0.2671292282,-0.3982202732,-0.3498699837,-0.6163449503,-0.4803856852,NA,L
LOC651202,0.1665254481,0.603723569,0.591537547,0.4588945285,0.6732758794,NA,L
LOC651212,0.4370209298,0.4893698031,0.3428039282,0.1328157308,0.2742813814,NA,L
LOC651316,-0.0616091329,-0.032986678,-0.3436321365,-0.01814873,-0.4238052674,NA,L
LOC651380,0.0178238097,-0.1771899392,-0.4748812578,-0.0016932817,-0.0695753595,NA,L
LOC651397,1.1832562563,0.738582951,1.6991478841,0.9049482776,1.3740131516,NA,L
LOC651436,0.3337908121,0.2408670359,0.081091574,0.4195723149,0.0867428275,NA,L
LOC651450,0.139708982,0.0202852087,0.388547527,0.1810842237,0.0740712353,NA,L
LOC651452,0.241907134,0.0991162719,0.4797786079,-0.0570413137,0.0073184186,NA,L
LOC651453,0.1673992684,0.282723674,0.588213806,0.4687931049,0.4434197101,NA,L
LOC651511,0.446942011,0.2044623266,0.2482125189,0.1863205114,0.0746919621,NA,L
LOC651575,-0.6253945728,-0.4453269598,0.1229768853,-0.1436660368,-0.0157442423,NA,L
LOC651619,0.0471038379,0.0357129549,0.1530120889,-0.0537326771,0.2544841733,NA,L
LOC651621,-0.0625697162,-0.4506458213,-0.4653155475,-0.3608277885,-0.3315566437,NA,L
LOC651680,0.0384907921,0.0357537686,0.4237188509,0.0513731042,-0.0897766714,NA,L
LOC651697,0.7628369134,0.9628430819,0.8944841867,0.4923735237,0.2184432046,NA,L
LOC651816,0.7792830916,1.3964086333,-0.435879173,0.2322128957,0.0689239959,NA,L
LOC651842,-0.1545198534,0.0477054545,0.3323948709,0.0834117215,0.0785233313,NA,L
LOC651886,-0.1157713422,0.0361039968,0.3443246706,0.1619550214,0.0492000679,NA,L
LOC651894,0.5145393589,0.5508008314,0.66141076,0.6385873534,0.7047426101,NA,L
LOC651900,0.0414253197,0.121268853,0.3013956861,0.0789493864,0.2837154793,NA,L
LOC651921,-0.1411922528,-0.1864407638,-0.1919113004,-0.3710064876,-0.1758966703,NA,L
LOC652002,-0.0196080109,0.368509699,0.7496381997,0.6018501279,0.6895255502,NA,L
LOC652045,-0.0093197266,0.101278346,0.4764008551,0.3409533788,0.2817556462,NA,L
LOC652048,0.0455680493,0.1347113821,0.3632851221,0.0584221241,-0.0127519292,NA,L
LOC652082,-0.0852871573,0.0584810739,0.3091038309,0.232878866,0.1729997706,NA,L
LOC652115,-0.0591490802,0.1253324836,0.1593618248,0.0034121345,0.2245910982,NA,L
LOC652195,0.0126765687,-0.1716956573,0.3869811457,0.1968123078,0.1588884417,NA,L
LOC652203,-0.0131402947,0.0138976383,-0.0908486449,0.1015056383,0.2544564063,NA,L
LOC652264,0.3777551228,0.1360434445,-0.0327404395,0.0436638386,-0.0685285716,NA,L
