,D1.log2fc,D1.adjPval,D3.log2fc,D3.adjPval,D6.log2fc,D6.adjPval,D10.log2fc,D10.adjPval,D14.log2fc,D14.adjPval
hsa-miR-302a,0.4625445,0.3667010316,0.543853,0.2103615712,1.1593225,0.0085308229,1.03758,0.0138985435,1.0712675,0.0115000279
hsa-miR-302f,0.0871805,0.8587005631,0.5527545,0.0358740683,0.064127,0.8272780294,0.3274495,0.1437895142,0.1244885,0.6076981327
hsa-miR-30b,-0.0419305,0.9332055216,0.2909815,0.1798262086,0.6221965,0.0060048627,0.803281,0.001269258,1.1198585,0.0001344834
hsa-miR-30c,-0.439591,0.1789729109,-0.027081,0.9310012709,0.074897,0.8203504625,0.1367285,0.6310835706,0.503539,0.0464925689
hsa-miR-30c1,-0.017956,0.987229621,0.2593295,0.5651325372,1.471344,0.0015200966,1.958697,0.0002323036,1.5796145,0.000816301
hsa-miR-30d,-0.34448,0.3824697736,0.0475635,0.9033107745,0.402341,0.177225882,0.5952735,0.0517562108,0.9409105,0.0060205917
hsa-miR-30e,-0.0773615,0.8922205434,-0.008045,0.9783556603,0.1765755,0.529722599,0.447635,0.0750452302,0.7434425,0.007988524
hsa-miR-31,-0.1863675,0.4530707275,-0.6449515,0.0060120787,-1.1590065,0.0001004714,-1.361018,2.82556614868485E-05,-1.3000145,3.40389369722957E-05
hsa-miR-3116,-0.47721,0.3300938776,-0.5601675,0.1808245901,-1.0411545,0.0123335421,-0.865529,0.0281233533,-1.180516,0.0061871508
hsa-miR-3123,-0.719571,0.0221050183,-0.572778,0.0234165165,-0.5260775,0.0201627589,-0.445866,0.0419505993,-0.5245375,0.0198436408
hsa-miR-3124-5p,-0.585512,0.2081263959,0.5492665,0.1577323531,-1.1180895,0.0060048627,-0.69126,0.0548179477,-1.2779065,0.002644322
hsa-miR-3126-3p,0.3104185,0.2482450684,0.18213,0.4660175774,0.1190095,0.6238123441,0.5213585,0.0184957853,0.702159,0.003894257
hsa-miR-3135,-0.3519085,0.4885546329,-0.4898665,0.231275103,-0.9917995,0.0134390093,-1.8350185,0.0003823656,-1.3681095,0.0022544185
hsa-miR-3138,-0.0858805,0.8587005631,-0.433681,0.0785471215,-0.0426285,0.8855766038,-0.525145,0.0243605538,-0.130598,0.5740100758
hsa-miR-3145-3p,-0.5227815,0.0327796926,-0.21974,0.2830845921,-0.5767555,0.0060048627,-0.30436,0.0925238948,-0.500561,0.0115000279
hsa-miR-3170,-0.5775635,0.3009735658,-0.831153,0.0850261454,-1.189848,0.0130488916,-1.029936,0.0251617521,-1.0950145,0.0182883589
hsa-miR-3175,0.251358,0.5831515728,0.62496,0.0785471215,-0.145069,0.7156264586,-0.549418,0.0839270474,-0.954686,0.0074117784
hsa-miR-3177-3p,0.720703,0.1027417557,0.6592235,0.0785471215,0.3840145,0.2592196208,0.4459145,0.1786120334,0.7304105,0.0356909154
