,D1.log2fc,D1.adjPval,D3.log2fc,D3.adjPval,D6.log2fc,D6.adjPval,D10.log2fc,D10.adjPval,D14.log2fc,D14.adjPval
hsa-miR-548o,-0.4391755,0.2080357171,-0.4128505,0.1558941964,-0.470527,0.0768871206,-0.7477965,0.0102065261,-0.460038,0.0815385716
hsa-miR-548t,0.266606,0.2986287429,0.346505,0.1151075783,0.90878,0.0007614679,0.3708045,0.0644350419,0.308484,0.1181314861
hsa-miR-550a,0.2267235,0.8000846785,-0.2661495,0.6763503824,1.141447,0.0232686653,0.125468,0.8471106883,0.0304055,0.9660868749
hsa-miR-550b,0.0618865,0.9493525624,0.2598845,0.5928414017,1.043823,0.0130216421,0.7167595,0.0640202973,0.8574255,0.0309821262
hsa-miR-552,-1.0551675,0.0322065068,-1.599286,0.0015121934,-1.4675455,0.0010884863,-1.963347,0.000152444,-1.7827815,0.0002509513
hsa-miR-553,0.0688435,0.8872551801,0.5523755,0.026327439,0.960112,0.0007651053,0.7907735,0.0021860778,0.889632,0.0009796367
hsa-miR-574-3p,0.4823805,0.1076855399,0.714606,0.0109586277,1.264734,0.0002379542,1.751085,2.5626331045132E-05,2.0055755,8.92867875443183E-06
hsa-miR-574-5p,0.4249225,0.2297878015,0.6539055,0.0395034906,0.883577,0.0060048627,0.768775,0.011105781,0.8049725,0.0084640488
hsa-miR-580,-0.477787,0.2820243546,-0.0429445,0.9229082561,-0.2498495,0.5139317932,-0.1632335,0.6918343884,-0.7390945,0.0375955015
hsa-miR-581,0.577051,0.0991933549,0.396948,0.1612787748,0.507258,0.0543603233,0.292112,0.2565377922,0.5313685,0.044164962
hsa-miR-584,-0.494085,0.2080357171,-0.7005535,0.0395034906,-1.7398915,0.0001558243,-2.1960055,2.82556614868485E-05,-1.8229785,8.39455680602283E-05
hsa-miR-585,0.4008925,0.5642762971,0.5385555,0.3377350204,-0.6525855,0.1799941126,-1.062585,0.0355316428,-0.8697535,0.0747884295
hsa-miR-596,-0.344039,0.6284245397,-0.662712,0.2296101987,-0.741567,0.1313468109,-1.1647865,0.0243605538,-0.7631035,0.1176976894
hsa-miR-600,-0.522768,0.1720211944,-0.3319355,0.311942167,-0.709337,0.0205435331,-0.8772245,0.0067941143,-0.932711,0.0051249705
hsa-miR-601,-0.2050245,0.6052265698,0.544337,0.0785471215,0.6396215,0.0286413651,0.6516065,0.0258785016,0.543968,0.0536178901
hsa-miR-605,-0.568689,0.1350480701,-0.6738915,0.0428981153,-0.843632,0.0101073187,-0.9877665,0.0039826992,-0.906585,0.0067261186
hsa-miR-608,-0.2111285,0.5371904426,-0.6521065,0.0241176936,-0.661666,0.0132600142,-0.889993,0.0026065912,-0.766475,0.0061025541
hsa-miR-612,-0.2055005,0.7264674599,-0.31352,0.4660175774,-0.734357,0.0462159216,-0.822124,0.0278258959,-0.509113,0.1476162399
hsa-miR-616,-0.573084,0.3000967399,-0.6706085,0.1577323531,-0.664965,0.1234040212,-1.1071215,0.0169126887,-0.964496,0.0311073753
hsa-miR-625,0.21353,0.5508558811,-0.112643,0.7529812486,-1.337936,0.0002998473,-0.924184,0.0026065912,-1.075882,0.0009552118
hsa-miR-628-3p,-0.030611,0.9698117329,0.486096,0.1278850655,0.6712535,0.0279166159,1.155945,0.0015333652,1.044098,0.0027004359
hsa-miR-630,0.4531935,0.6052265698,0.424966,0.5838762011,1.0941425,0.0766919031,1.4396835,0.02552041,1.100231,0.0732313152
hsa-miR-631,-0.0525035,0.945234586,0.000835,0.9989153115,-0.0123665,0.9741809767,0.6301615,0.043659818,0.389055,0.1893080634
hsa-miR-632,0.8669385,0.0244189459,0.655197,0.0326884723,0.7338725,0.0115224282,0.8129225,0.0061694919,0.122815,0.6745357448
hsa-miR-635,-0.6532485,0.5280043445,-1.712023,0.0415154407,-1.51003,0.0469200345,-1.4203745,0.058027883,-1.325429,0.0732313152
hsa-miR-638,0.2520725,0.3993518723,0.401721,0.1115749309,-0.5711595,0.0188560769,-0.1779935,0.4670672825,-0.4014795,0.0786705169
hsa-miR-642a,0.2779665,0.5725748343,0.580542,0.1243567321,0.698822,0.048189965,1.148949,0.0040682642,0.956875,0.011138429
hsa-miR-642b,-0.0277875,0.94991451,-0.3793825,0.0725270944,-1.525664,2.30545849362104E-05,-1.25619,5.33707249531933E-05,-1.059071,0.000151132
hsa-miR-643,0.723228,0.0322065068,0.328673,0.2299135994,0.1636885,0.5560742553,0.273527,0.2618099019,0.0165565,0.9632082275
hsa-miR-644,-0.215275,0.6260672572,-0.5152435,0.1243567321,-0.4091975,0.1787747318,-0.5857945,0.0581227887,-0.718703,0.0244220118
hsa-miR-645,0.175824,0.5831515728,0.578243,0.0273084089,0.710141,0.0060048627,0.033505,0.919689241,-0.119746,0.6164318072
hsa-miR-654-3p,-0.10689,0.7257510813,-0.6674045,0.0057593413,-0.7509345,0.0015358239,-0.6929105,0.00224211,-0.7248725,0.0016057757
hsa-miR-654-5p,0.235385,0.6052265698,0.5337545,0.1290137634,-0.5729725,0.076136526,-0.130596,0.7531603161,0.8138365,0.0170395045
hsa-miR-655,-0.4315815,0.4661508315,-0.4625485,0.353054047,-0.701586,0.108061014,-0.871847,0.049290622,-0.578225,0.1726778564
hsa-miR-659,-0.056543,0.9314746224,0.123237,0.7350219097,0.5406265,0.0447209442,1.1762465,0.0007202714,1.0102405,0.001718848
hsa-miR-660,-0.2583425,0.2125150612,0.1007635,0.626469276,0.200821,0.2097832267,0.152451,0.3434816102,0.3600845,0.0300598587
hsa-miR-663,0.076642,0.8085305762,0.07293,0.7560047181,-0.5626795,0.0048155633,-0.9356915,0.0001777847,-0.8861085,0.0002240767
hsa-miR-671-5p,0.385629,0.5139120635,1.0423445,0.0358740683,0.8884145,0.0440105485,1.3494115,0.0055356381,0.9006795,0.0403808989
hsa-miR-675,-0.0673255,0.9233578547,-0.047296,0.9009465523,0.6396845,0.0233719874,1.3989805,0.0002799854,1.0147475,0.0018973953
hsa-miR-7,0.115892,0.6975365174,0.2958715,0.1535299179,-0.079932,0.7329483509,-0.250471,0.1766021996,-0.5628045,0.0074117784
hsa-miR-708,-0.485299,0.1026441281,-1.0976975,0.0011990355,-1.3327105,0.0001558243,-1.6583425,0.0000286,-1.7818345,1.60583099363115E-05
hsa-miR-71,-0.763208,0.1276164546,-0.6647575,0.1154305956,-0.3448395,0.3902262842,-0.826664,0.0362418295,-0.558917,0.140101641
hsa-miR-711,0.3277585,0.5575569735,-0.136134,0.8170414438,1.0289855,0.0158347218,3.213755,1.54614605133939E-05,2.823549,3.40389369722957E-05
hsa-miR-72,-0.425449,0.2687151265,-0.4413165,0.1815772359,-0.4190205,0.1593126955,-0.484054,0.1022737666,-0.606868,0.0463458001
hsa-miR-744,0.0465605,0.945234586,-0.1353315,0.7154536981,-0.0682735,0.8553483866,0.8103705,0.0079104027,0.823883,0.0074101797
hsa-miR-762,-0.291108,0.2872248671,-0.102874,0.7236189389,-0.9600275,0.0007837801,-1.32117,8.69697096348123E-05,-1.2211315,0.000132776
hsa-miR-764,-0.1140045,0.9117145147,0.3626355,0.466497372,1.0052555,0.0222493275,0.3093555,0.4933677529,0.551065,0.1749794587
hsa-miR-767-5p,0.3179235,0.2605146116,0.0822955,0.7944104567,-0.0404635,0.8927396063,-0.452057,0.0456183851,-0.3964175,0.0727693971
hsa-miR-769-5p,0.4191855,0.2482450684,0.6542025,0.0414047084,0.8217875,0.00934352,1.2594665,0.0007261184,1.396697,0.0003567457
hsa-miR-874,-0.15847,0.7099548424,-0.5197065,0.0785471215,-1.564955,0.0001558243,-1.552119,0.0001410052,-1.2769645,0.000452864
hsa-miR-875-3p,-1.282282,0.0411583136,-0.561332,0.2830845921,0.543422,0.2512774407,0.179593,0.768835648,0.46643,0.3080743046
hsa-miR-877,0.164126,0.6077682793,0.4700085,0.0635733209,0.565629,0.0184377223,0.613037,0.0124814209,0.36886,0.0986618166
hsa-miR-890,0.498885,0.22360141,1.0414785,0.0087689933,1.0298525,0.0056455742,1.1474505,0.0026433736,0.908893,0.0093287711
hsa-miR-921,0.217715,0.6114369114,0.114864,0.7901883299,-0.0620805,0.873992563,-0.5650305,0.0631430936,-0.670023,0.03128405
hsa-miR-92a,0.5861885,0.0248773533,0.4371045,0.0358843466,0.260152,0.1495822483,0.263148,0.140277981,0.3566125,0.0516849765
hsa-miR-92b,0.433161,0.1581623107,0.2683965,0.311942167,0.256183,0.282703939,0.364629,0.115005042,0.550312,0.0239660553
hsa-miR-934,0.1321565,0.8085305762,0.326967,0.3125919352,0.907013,0.0060048627,0.3806685,0.1765004823,0.289335,0.3000267701
hsa-miR-938,-0.211767,0.5945936374,0.628833,0.046551322,1.4505235,0.0003382592,0.9806665,0.0031314821,0.9942125,0.0029243107
hsa-miR-942,-0.11723,0.7289534224,0.0327415,0.9033107745,-0.2161135,0.3089047328,-0.389276,0.0617665326,-0.5148615,0.0182883589
hsa-miR-943,-0.1027175,0.9189412447,0.062097,0.9033107745,0.304726,0.4785610319,1.7542565,0.0007261184,1.541079,0.0015730086
hsa-miR-944,0.4153855,0.3688091972,1.1643435,0.0087689933,1.2972055,0.0028433415,0.809539,0.0281258581,0.5283615,0.132255663
hsa-miR-98,0.237071,0.5548226244,0.6391095,0.044893479,0.53885,0.0617866733,0.39946,0.1536523059,0.475377,0.0931809422
hsa-miR-99a,-0.3846645,0.4507007886,-0.3075735,0.5023036328,-0.7084475,0.0635131764,-0.787475,0.0419259089,-0.763803,0.0463458001
hsa-miR-99b,0.184622,0.6077682793,0.0945295,0.7944104567,0.1304915,0.6692688403,0.339698,0.1725705606,0.579357,0.0279075362
