GeneID,D1.log2fc,D3.log2fc,D6.log2fc,D10.log2fc,D14.log2fc,D1.adjPval,D3.adjPval,D6.adjPval,D10.adjPval,D14.adjPval
A2LD1,0.352997276,0.4204426013,0.4859984908,0.7558143827,0.558003256,0.0241834566,0.0067249772,0.0019473984,0.0001014804,1.21874706214218E-05
A2M,0.2138989035,3.6922806584,5.4146622593,4.5836688642,5.0322577634,0.414292843,3.88270212977302E-09,1.18069729302656E-10,5.23675167495261E-10,1.82963449036028E-12
A4GALT,-1.151040244,-1.1902488987,0.0171499686,-1.3692718584,-1.3026178742,0.0692273393,0.0464490029,0.9878881087,0.0210332342,0.0008763576
AACS,0.10610534,1.0055227124,1.7869475826,1.6665414331,1.8303112974,0.906900008,0.0024452715,2.67927884562381E-05,5.60255849696857E-05,2.37117689729973E-07
AACSL,0.0596406314,0.213530795,0.4432363313,0.1164378279,0.4051785683,0.9432381666,0.4740532766,0.0462274028,0.7261247792,0.0045816584
AADACL1,-1.3563341889,-1.4671198224,-1.6287868998,-1.5554187798,-1.475325727,0.0002217594,8.26686884889453E-05,2.66669285602215E-05,4.5961536691101E-05,6.49673283325313E-07
AAGAB,-0.1546509897,-0.1881430503,-0.6368107683,-0.3263706723,-0.413057522,0.75685592,0.5825377163,0.0090372696,0.1901338713,0.0053954906
AAK1,0.0726619244,-0.0809808595,-0.0576833398,-0.1002416271,-0.2571390971,0.8857831201,0.805434,0.834239301,0.6827874092,0.0140694388
AAMP,0.9000173061,0.8942628271,1.7211083876,0.9883147404,0.9495331551,0.0647590153,0.0518533428,0.0008135155,0.0293165095,0.0012881202
AARS,-0.1652559012,-0.1506225831,-0.2575228944,-0.7717539727,-0.1522088166,0.8070501105,0.7711501843,0.4270579007,0.0117256018,0.4129443716
AARSD1,0.5848235731,0.6428797288,0.2325749858,0.5767723037,0.5449848531,0.0793550112,0.0405255404,0.5090740656,0.0597030447,0.0041007617
AASDH,0.0532846911,-0.0254444898,0.4752097444,0.1451968404,0.317572577,0.9438145313,0.9606905084,0.01944921,0.5820193529,0.0104695683
AASDHPPT,0.2446049244,-0.1769925611,-0.5052916372,-0.0121718068,-0.3777254043,0.4482860515,0.5908438711,0.0246073842,0.9791923176,0.007027131
AASS,-0.2219635278,-0.1949058856,0.1225850284,-0.4066340502,-0.5281946059,0.2642726718,0.3007613072,0.5185945098,0.0158105847,5.48059319119546E-05
AATK,0.024941825,0.1004058106,0.6572043884,0.2859561393,0.4597170077,0.9855618445,0.8635736302,0.0191516747,0.3694396625,0.0078560412
ABAT,0.0419351925,-0.1266842843,-0.1892561519,-0.3355742314,-0.2502260387,0.9552344461,0.6693466175,0.3505016411,0.0816437698,0.0253754714
ABCA1,-0.3765034544,-0.3482386234,-1.1105854383,-1.078316084,-1.7086775326,0.4829517451,0.4624535846,0.0041496286,0.0062103438,2.88671151463089E-06
ABCA3,-0.3128416871,-0.2294093919,-0.1677187157,-0.2331650635,-0.3046416462,0.0814452157,0.1989709818,0.3277299786,0.1655373331,0.003197568
ABCA5,-0.0227689025,0.2082131334,0.4385655796,0.6237530351,0.5458155875,0.9850798645,0.5370504773,0.0649014324,0.0146301413,0.0009756267
ABCA6,-0.206411217,-0.075143875,-0.3267318713,-0.1871131129,-0.2698505911,0.4258089439,0.8376717012,0.0710506486,0.3753657676,0.0155035769
ABCA8,-1.0109133114,-0.8287881808,-1.4659357148,-0.7839007254,-1.1314080521,0.0063574215,0.015768544,0.000273678,0.0194166119,0.000031824
ABCA9,-0.2619474742,-0.3557440934,-0.2925194542,-0.0789870297,-0.4008162742,0.3530450333,0.1185299204,0.1695957231,0.8197222859,0.0033592257
ABCB10,0.0511627033,-0.1422502503,-0.7405387545,-0.0821649534,-0.4252737435,0.9164495629,0.469670879,0.0001523613,0.7031055867,0.0001741297
ABCB6,0.9694839047,1.2565546346,1.8975933037,1.0009833357,1.3502687763,0.0001734876,1.59193547583541E-05,4.75891436110537E-07,7.96925308783012E-05,6.28091237203985E-08
ABCC1,0.2490618209,-0.1182366441,-0.7001963172,-0.3096907745,-0.2421519466,0.6131752355,0.8352347621,0.016002615,0.3382690617,0.1585302373
ABCC2,-0.0247310567,0.2248253254,0.4687868995,0.5120445611,0.2540148221,0.9712166891,0.1846593806,0.0043131278,0.0030623752,0.0076067398
ABCC3,-1.5937053225,-1.7065475916,-1.1430623608,-0.7532101143,-0.9439078478,0.0170941116,0.0087367618,0.051410746,0.2406555508,0.0099273023
ABCC4,0.1370996454,-0.4135308198,-1.0453138774,-0.7799856987,-0.8847210265,0.7278563532,0.0438269456,8.53016743138068E-05,0.0008834599,4.08258381253358E-06
ABCC5,-0.1936579029,-0.6153883113,-0.9245001654,-0.8275672567,-0.8895670249,0.7235515865,0.0325783668,0.0022266803,0.0056410537,6.10920937902244E-05
ABCD3,0.3837151782,0.4075501631,0.2874095984,0.2689411535,0.1209144428,0.0417601234,0.0238849319,0.0858685919,0.1274876729,0.2461655921
ABCE1,1.0360723332,0.3821296701,-0.3920900791,-0.2577719027,-0.539440922,0.0002995145,0.0823081325,0.0551058993,0.2523874781,0.0003541039
ABCF2,-0.0853368418,0.1467451834,0.9219765161,0.4954430931,0.9940520005,0.9678725543,0.889397978,0.0518501273,0.3671441229,0.0018327873
ABHD10,0.5964360592,0.7775354446,1.1121711504,1.0994361271,0.6883918197,0.0162655063,0.0023734911,0.0001373157,0.0001789419,8.71468199925475E-05
ABHD11,-0.5799563749,-0.5833143232,-0.6138468188,-0.4540047092,-0.5952656865,0.0203872607,0.0152079106,0.0082919318,0.0486430968,0.0002980837
ABHD12,0.0890435435,-0.2195234152,-0.5304988872,-0.2341430729,-0.2221693308,0.8717714479,0.3621734183,0.0090622096,0.2764783947,0.0553203458
ABHD14B,-0.5066446205,-0.5095955999,-0.3779187373,-0.1789635,-0.0590845542,0.0327500907,0.0244886787,0.0720644669,0.4958942774,0.7145323645
ABHD2,0.3596029745,-0.2039708897,0.7909401587,0.3907906649,0.2727700152,0.2826403492,0.6046514951,0.0050716654,0.1597913635,0.0813697179
ABHD3,-0.2862663386,-0.0794465321,-0.3384258281,-0.1397969363,-0.3164104773,0.2860823241,0.8562109669,0.1056680291,0.6255686461,0.0141272482
ABHD4,-0.2412643145,-0.623135565,0.0642667268,-0.1384768452,0.045073306,0.5960816401,0.0294283008,0.8901674589,0.7298574501,0.8411072192
ABHD5,-0.0711066834,-0.6350562312,-0.9061670384,-0.8273941236,-0.8596167444,0.9079415796,0.0038894529,0.0002395542,0.0005690798,5.05694374507998E-06
ABHD8,-0.6631833562,-0.2188103572,-0.0912521169,0.0150837682,0.2034719771,0.0009784464,0.2183865097,0.6656228758,0.9636422168,0.0304054888
ABI1,-0.0368918773,0.387774023,0.7585880767,0.4773513515,0.5778663426,0.9817833196,0.3650260083,0.028637587,0.1957307356,0.0075529738
ABI2,-0.6469508635,-0.4924055353,-0.3899100362,-0.7266059416,-0.5539318269,0.0392200114,0.1022026405,0.1691658955,0.0151045649,0.0026316949
ABI3BP,-0.023264522,-1.2255357974,-0.6872150528,-1.4985705123,-1.0944560166,0.9934327686,0.0346041671,0.2210385321,0.0106913738,0.002341336
ABL1,-0.9191761478,-1.2231770156,-0.4808985639,-1.191000951,-1.106784726,0.0040094884,0.0004187473,0.0705834165,0.0004442363,9.53716254279097E-06
ABL2,-1.6417527194,-1.641367371,-1.6299245568,-1.723443716,-1.7826653474,8.38137279510652E-05,5.51716614839781E-05,4.18358867465927E-05,3.27155871219324E-05,2.22228541795153E-07
ABLIM1,-1.7535299556,-2.0137261073,-1.9163155157,-2.0476498383,-2.0052315923,1.01128796231314E-06,2.02718451859177E-07,2.28882013633261E-07,1.45419268886518E-07,1.11995229462475E-09
ABLIM3,0.3120218759,0.1548194874,0.7427755775,0.930160617,1.0016847724,0.2008958989,0.6124959836,0.0014071405,0.0003473206,2.15583316349695E-06
ABR,-0.5544602076,0.387998546,0.3080613697,0.2024162986,0.1798523614,0.0136538888,0.0640215887,0.1164013196,0.3740586748,0.127689393
ABTB2,0.007979045,0.4750245617,0.7660020407,0.6686358917,0.7690882238,0.9953794498,0.0517594002,0.0026551924,0.0077305356,0.000053925
ACAA1,-0.1994718537,-0.1077000791,-0.5009756896,0.0672437499,0.0168050154,0.5422254335,0.7725702136,0.0164626265,0.8472635693,0.9281315322
ACACA,-0.2930354053,-1.0902314585,-1.6790118399,-1.5663303488,-1.3419742557,0.7318304784,0.0155124884,0.0007331694,0.0014474806,0.000071576
ACACB,-0.5428222393,-0.4504945573,-0.4663721735,-0.506408145,-0.3263811777,0.0224248036,0.0446451468,0.0279599533,0.022718054,0.0121064057
ACAD11,-0.1261350942,-0.455622044,0.1993398889,-0.4969868952,-0.1482038414,0.6455585341,0.0069689529,0.1988600892,0.0036939537,0.10154088
ACAD8,-0.2203693305,-0.2523531526,-0.5138027247,-0.4440382217,-0.345794671,0.5116066632,0.3413637954,0.019684594,0.0488348747,0.0102003526
ACAD9,-0.1077726824,-0.2342206041,-0.8718709966,-0.3812595658,-0.426343036,0.9092085901,0.5912513087,0.0056489948,0.2341342381,0.0176243807
ACADM,-0.1946419565,-0.3647819121,-0.5336487161,-0.1538479547,-0.2961379769,0.6576976516,0.1667850828,0.0262599,0.6392732445,0.0379877147
ACADS,-0.119038715,0.2629609249,0.2464791292,0.1561111038,0.1867663334,0.6897599285,0.1150874907,0.1087573151,0.3847101701,0.0429525698
ACADVL,0.3582270482,0.4587014648,0.3202227257,0.687318208,0.5217436161,0.4455719091,0.2128627267,0.3716361673,0.0418859618,0.009710294
ACAN,0.8257515119,2.920760263,4.2231598997,3.6324819313,3.8809392389,0.0004053357,1.47694275332324E-08,5.14030949025554E-10,0.000000002,7.79055912478684E-12
ACAP1,0.4658636361,0.644040815,0.9260156686,0.7045828068,0.6564180659,0.0369943784,0.0044325541,0.0002656856,0.0022342906,6.11273310920959E-05
ACAP2,-0.3384062564,-0.4637597193,-0.3707181758,-0.3826200799,-0.3458659783,0.0470297915,0.0063730148,0.0168825882,0.0177683064,0.0010005334
ACAT1,-0.8571991243,-1.2448840443,-1.6043149077,-1.5573241499,-1.2987715798,0.0014607431,6.8683187783704E-05,7.04622529618215E-06,1.06047128955378E-05,3.90331004371779E-07
ACAT2,-0.7069689086,-0.7514335364,-1.6708278211,-1.0646152661,-1.4241646128,0.3543699902,0.2547218598,0.0058988572,0.0717681379,0.0005016937
ACBD3,0.2686508913,0.4370990124,0.6317553833,0.2694710745,0.399679629,0.373679328,0.0643202873,0.0070748334,0.2714197059,0.0048357827
ACBD6,0.0462727437,0.0469676539,-0.0616830299,0.2801896302,0.2639999218,0.9406160275,0.9016946033,0.8131533786,0.1075818886,0.0105901151
ACCN2,-0.1151551303,1.4792756757,1.6941630286,1.8836160632,2.7919378864,0.7511141801,3.30561771653338E-06,8.25112118786032E-07,3.91215849060077E-07,1.04890458911983E-10
ACCS,-0.7825669656,-0.6471345665,-0.2758737863,-0.4912026721,-0.2390868992,0.0107388412,0.023555124,0.3412087471,0.0763512026,0.1355315689
ACER2,0.232339879,0.3449987902,0.3999422412,0.2610784106,0.2871189813,0.4978561824,0.165453794,0.073180485,0.2990076283,0.0332264663
ACER3,-0.0369825065,-0.3423570623,-0.3924604157,-0.0802844762,-0.3396267441,0.9507330902,0.0367575302,0.0132460153,0.7260782372,0.0012299246
ACIN1,0.0524682762,-0.1007564555,-0.3679199653,-0.3592268776,-0.3856933832,0.9365113013,0.7533640443,0.0414602679,0.0556244213,0.0015642553
ACLY,0.9188077351,1.1625861538,1.3570454124,0.9817956377,1.3347917307,0.0413984029,0.0088432428,0.0024779224,0.0209019739,5.81488873818607E-05
ACN9,0.3377847082,0.393723313,-0.325529584,-0.0899293481,-0.0444485327,0.0848167571,0.0327967539,0.0581959432,0.7273610906,0.7414552354
ACO1,-0.0248175443,0.0051033711,-0.198332194,0.4109945753,0.2031871665,0.9748670581,0.9911595154,0.2479568016,0.0184411789,0.0390364128
ACOT1,-0.6732386213,-0.7548798728,-1.5954333397,-1.1010362785,-1.0728062246,0.0749314718,0.0345543507,0.000221563,0.0036352831,7.61845573133764E-05
ACOT2,-0.2433475099,-0.5131423254,-1.1648948466,-0.7637750929,-1.0893314595,0.2071102351,0.0045050531,0.00000852,0.0002553994,1.46165948790138E-07
ACOT4,0.2153393071,0.4864851996,0.4810454612,0.7691161293,0.9334323931,0.1917977591,0.0024427107,0.0019182286,8.0822853808775E-05,1.55233568655197E-07
ACOT7,-0.9934415473,-0.9817884251,-1.0961564004,-0.9856712738,-1.2190998269,0.0008720991,0.0006853506,0.0002211097,0.0005846242,1.22145480400496E-06
ACOT8,0.186252648,0.3679076105,0.3408055888,0.386391477,0.3744087322,0.6695788597,0.151022199,0.1457556067,0.1125587912,0.0097363333
ACOT9,-0.0324769314,-0.3108785239,-0.8850139242,-0.450238164,-0.6184573129,0.9833700571,0.459589368,0.0079772368,0.1831030601,0.0028940784
ACOX1,0.0981152207,0.2246207985,0.2382354935,0.14946814,0.4736839061,0.7698560406,0.1883541032,0.1176675139,0.4045593837,9.76218034075068E-05
ACOX2,-2.0938862388,-2.2113093206,-1.8925384167,-2.1433372941,-2.1249761181,2.74703162068157E-05,1.17787625730609E-05,0.000026761,1.24774969660996E-05,1.11684228187761E-07
ACOX3,0.6349169784,0.500387354,0.6765000459,0.4005199499,0.6863492176,0.0294256182,0.070863171,0.0117831361,0.1426136848,0.0003360995
ACP1,-0.1122427,0.5041528377,0.6499310273,0.8284476141,0.5915606937,0.8754118919,0.0581982451,0.012007886,0.0034921298,0.0007611484
ACP2,0.263275989,0.3218461668,-0.1424495364,0.6053621903,0.4787823623,0.6688400197,0.4602438658,0.7696142936,0.076596406,0.0170383357
ACP6,-0.0872267024,-0.0429388089,-0.2381042225,-0.0297852912,-0.1885494488,0.7899266138,0.8936474163,0.0944498665,0.913879015,0.0286671387
ACPL2,-0.0699346155,1.8368375946,3.0526697274,3.034908364,3.0139302027,0.9266688606,4.29764454900514E-06,5.85895754326358E-08,6.54612654270337E-08,4.62213997416635E-10
ACSF2,-0.7339152548,-0.0762647277,0.516417905,0.0605340083,0.4754246491,0.024501925,0.9094690781,0.0728673767,0.9135467785,0.0086245286
ACSL1,-0.0301166571,-0.0394674262,-0.2006979634,-0.1291465437,-0.3882784482,0.9800816797,0.9504177659,0.5008194909,0.7315285136,0.0121148604
ACSL3,0.276754349,-0.284953177,0.080127006,-0.3534061791,-0.3428869057,0.3288980875,0.2533695783,0.8115501961,0.1165043691,0.0102518503
ACSL4,-1.041417011,-1.0911443857,-1.3368145793,-1.0770738544,-1.1535872239,0.001106373,0.0005738003,9.24080600196054E-05,0.0005582959,3.83331747125637E-06
ACSM3,0.1630590956,0.2537964364,0.3263967368,0.1501655825,0.2763269589,0.7238756899,0.3708990202,0.1547437923,0.6298480995,0.0422392573
ACSS2,-1.529206435,-1.6322048167,-1.6101879657,-1.8673886124,-1.7877742793,2.82114677314309E-05,0.000011263,8.62031673398739E-06,3.22954620514592E-06,0.000000035
ACTA1,0.0626383826,0.4079938382,-0.0546307132,-0.0262505204,-0.043531573,0.9053650717,0.0215475266,0.838299728,0.9378889739,0.7335086095
ACTA2,1.047870037,-2.1742578604,-3.725301154,-2.1548357312,-1.8898287274,0.1057214702,0.0014157458,0.000018599,0.001349487,5.51031841594687E-05
ACTB,-0.3171468185,-0.9525444908,-2.0794070484,-1.2529633416,-1.5687321426,0.7185215909,0.0404256647,0.000222593,0.0084309844,3.03641776143377E-05
ACTC1,0.8067402862,1.1833433283,0.5737447823,0.3594291843,0.6410338791,0.0986378872,0.0115236842,0.1883814584,0.499859064,0.0145644075
ACTG1,-0.8169424017,-1.2876924015,-1.2834160317,-1.3793857761,-2.1142554966,0.0087219331,0.0002985928,0.0002208592,0.0001574452,4.63474384771057E-08
ACTL6A,0.4033690434,0.0269116273,-0.6969478604,-0.0585365427,-0.4821350037,0.2784645378,0.9711091214,0.0193227348,0.9178877623,0.0085052019
ACTN1,-0.5422300539,-1.3537599911,-1.5291502165,-0.842482783,-0.8799561916,0.0605376917,0.0001452029,4.1290745131927E-05,0.0036765175,4.45965075145927E-05
ACTN4,0.0851247402,-0.0759850326,-0.7383146806,-0.3964295971,-0.6618882909,0.8741892729,0.8425716462,0.0009016647,0.0430590158,0.000036519
ACTR10,0.128670077,-0.1972891836,-0.3079668184,0.1730576278,0.1779889252,0.6417233693,0.273055619,0.0442526379,0.3175015322,0.0518817241
ACTR1A,-0.0189192852,-0.2402890916,-0.8328871267,-0.6322251961,-0.9320209708,0.9886462817,0.4692831508,0.0026153133,0.0170433014,2.17181306993303E-05
ACTR1B,-0.1995865301,-0.1323474449,0.5495813589,0.3634885234,0.4100208862,0.7743553005,0.83178742,0.077401659,0.2999378503,0.0295304216
ACTR2,-0.2430326439,-0.5117533819,-0.6600465831,-0.4258206362,-0.729491573,0.6916592598,0.140232687,0.0372219069,0.2122540782,0.0009164266
ACTR3,-0.3413649649,-0.5583494391,-1.0218854676,-1.2356744927,-1.2964485937,0.3425503334,0.0518531397,0.0011560175,0.0003624225,2.81616975040767E-06
ACTR3B,0.5286953434,0.4115199757,0.7261701406,0.3051801765,0.6195236415,0.087029496,0.1736192063,0.0103249769,0.3211931374,0.0009974625
ACTR6,-0.0912277837,0.4271128656,0.6170320776,0.364493181,0.4002664065,0.8995584058,0.0882288273,0.0110126013,0.1382404404,0.0066770728
ACTR8,-0.1328312779,-0.0161443167,-0.6753960919,-0.3234876185,-0.4673139154,0.7255395514,0.9721005248,0.001514506,0.0950049905,0.0004871125
ACTRT1,-0.1309505964,0.1006111662,0.508340032,0.1532688862,0.5144319509,0.7344725698,0.7643360473,0.0091276758,0.5126228593,0.0002431748
ACVR1,0.060247353,-0.6291312335,0.4457817018,-0.496958145,-0.1557390724,0.9510878985,0.0201296161,0.0745616517,0.0571111468,0.3303008431
ACVR1B,-0.3188818605,-0.464886381,-0.6540463415,-0.7664647468,-0.585600695,0.2737500618,0.0577255629,0.0071895853,0.0033784559,0.0004471865
ACY1,0.2926018625,-0.0445631555,-0.6405256422,0.0797216782,0.110508881,0.3654368797,0.9389648243,0.0101279121,0.8450779449,0.4936377401
ACYP2,-0.2181850438,0.556531902,0.2680228046,0.9699517819,1.1732778647,0.5327303032,0.0192065157,0.243963373,0.0004856978,1.1928701046247E-06
ADA,-0.0572814179,-0.3807710201,-0.3590829313,-0.5670580072,-0.6215548795,0.9690442417,0.3499077303,0.3124433692,0.100835222,0.0037247878
ADAM10,-0.1732749106,-0.5135492849,-1.1052926318,-1.2206690433,-1.4410210174,0.8815101146,0.2674400802,0.0079899632,0.0054814784,2.75756565380312E-05
ADAM15,-0.0563581822,0.6253069693,1.4119949052,0.6146879049,0.6955501331,0.9094264977,0.0010124337,1.59339274127754E-06,0.0010112047,4.90129148268652E-06
ADAM17,-0.2800462533,-0.4181972372,-0.3818771806,-0.5258855924,-0.5091624069,0.3389610921,0.0758778691,0.0816645161,0.0235645378,0.0009011952
ADAM19,0.421658577,-0.6567184136,-1.428707373,-1.3467790403,-1.808066418,0.0249850643,0.0012107766,2.61029718081723E-06,4.77026351121294E-06,3.22737813439587E-09
ADAM22,1.4939529313,1.2014064116,1.144617426,0.8274093769,0.7499925984,6.61992490373013E-06,2.2621716999387E-05,2.32395554541149E-05,0.0003346154,8.50340668496909E-06
ADAM23,-0.3592912249,-0.5758138097,-0.7355643527,-0.9305889996,-1.013762228,0.2023842939,0.0215778076,0.0038087823,0.0009698932,0.00000635
ADAM9,-0.8726803724,-1.5803265151,-2.1339474778,-1.6138620677,-1.8899136798,0.0960757728,0.003006707,0.000269751,0.0023685429,1.00739405705381E-05
ADAMTS1,-4.2772540428,-4.3471735113,-4.0689795264,-4.167228045,-3.6733812387,8.06200908770128E-08,4.66223469222742E-08,5.94281779238454E-08,5.52259178906368E-08,9.29751164905298E-10
ADAMTS18,0.4348677106,0.6717382934,0.0145337771,0.0162716294,-0.0279872063,0.0098910711,0.0004032503,0.9591818859,0.9577677111,0.815777513
ADAMTS2,0.4503256901,0.2987904188,0.7238936969,0.3810121872,0.3792238476,0.2691888537,0.4970331374,0.0261722369,0.2893763278,0.0492889846
ADAMTS4,0.1517415572,0.587062398,0.0737068119,0.5268322511,0.2025302278,0.5527443786,0.0017736722,0.7483260218,0.0033370911,0.0327572731
ADAMTS5,-1.7540093943,-2.0698183994,-2.0459216691,-2.043077735,-2.0273753038,1.40288875411479E-06,2.33281197737297E-07,1.97466973536021E-07,2.16608637767377E-07,1.53919650511195E-09
ADAMTS6,1.1951393985,1.0089948756,1.1649254191,1.0637153655,1.0293034588,5.75024942232463E-05,0.000137305,3.28303563289801E-05,8.07027943441649E-05,1.0175554227482E-06
ADAMTSL1,-0.6585464852,-1.1152762845,-1.3834787536,-1.7803255055,-1.7134984307,0.0071925404,0.0001399853,1.88082562592187E-05,0.00000327,3.39223843225906E-08
ADAMTSL3,0.1329302855,-0.1286191928,0.5063995608,0.6674591613,0.875878188,0.9044079889,0.8613217478,0.1494831519,0.0658417612,0.0004942019
ADAMTSL4,-0.1068473741,-0.209220733,-0.3968561419,-0.7321578297,-0.8959816131,0.7804649919,0.3065221481,0.0220195623,0.000593111,1.35551557871986E-06
ADAR,0.1144850784,-0.2019813679,-0.3544665937,-0.4512468543,-0.4125318721,0.6605257464,0.2041583583,0.0143458511,0.0042898426,0.0001543552
ADARB1,-0.7752639768,-1.3703063642,-0.8710890184,-1.0753515655,-0.3020597247,0.1563225981,0.0078692147,0.0595371652,0.0275644105,0.3032483912
ADC,1.1294190181,0.2803974112,0.2753437985,0.3333116092,0.2284531693,0.0008505442,0.395934163,0.3276383136,0.2399285186,0.1453382616
ADCK1,-0.3188223514,-0.2666653151,-0.4099105975,-0.3074695346,-0.1719775676,0.1176694679,0.1748644509,0.0220195623,0.0950945279,0.103331365
ADCY4,-0.1423538418,-0.7577933218,-1.0346133705,-0.9990189182,-0.9169548536,0.7376801586,0.0017869034,0.0001420913,0.0002239009,4.89469310446494E-06
ADCY9,-0.2418563572,-0.5735720745,-0.6815324703,-0.91401068,-0.7215951086,0.5397642257,0.0297036927,0.0085015236,0.0016489034,0.0001572458
ADD1,-1.1008609202,-1.0681933107,-1.330929813,-1.5597019202,-1.1297510516,0.0012882192,0.0011483538,0.0001703107,0.000062922,8.56776162007325E-06
ADD3,-0.5615234466,-1.3945560541,-0.5605422431,-1.4907132047,-1.6671486476,0.2349772407,0.0020296391,0.1455751199,0.0011603665,6.29421613552957E-06
ADH1A,-0.36742676,-0.4205539494,-0.1918677005,-0.5263675262,-0.4448495309,0.0646114345,0.0259563457,0.3106122791,0.0067166935,0.0004775945
ADH5,-0.6613171153,-0.5172498833,-0.4109179744,-0.5859474451,-0.5165416661,0.0139731998,0.0393504201,0.0794874752,0.0189916907,0.0013037786
ADHFE1,-0.9496118693,-0.8443327706,-0.6458310866,-0.7578340505,-0.4121801766,0.0007187667,0.0011757698,0.0049782724,0.0022099294,0.0031177321
ADI1,-0.7975787935,-0.8609103426,-1.3321666233,-0.8289183448,-0.8436998197,0.0200818554,0.0099198301,0.0004056919,0.011338176,0.0002319946
ADIG,0.0369493148,0.0773705007,-0.0152567443,0.1858034682,0.1770847791,0.9480416311,0.7730613999,0.9574978626,0.2479511742,0.0439787963
ADIPOR1,0.3295890089,0.9871915077,1.4322721146,1.6323831128,1.492674159,0.1713721261,0.0002707145,1.12425585339875E-05,4.93738101665828E-06,8.1402464895757E-08
ADIPOR2,0.1719672965,-0.0141842585,-0.1535238965,-0.213024533,-0.2802076256,0.6176336534,0.9774270758,0.5174940907,0.3452013078,0.0196108789
ADK,0.834201919,1.3994310079,1.6281819317,1.7506347368,1.4495197429,0.0028810684,5.02610683566604E-05,1.11305863786422E-05,7.59290700563324E-06,2.93107146796838E-07
ADM,-1.8965944987,0.0090243469,0.5252614777,-0.1033094305,-0.1725513353,0.0002626227,0.9929395984,0.1591089098,0.8754572923,0.4882475346
ADM2,0.4633601534,0.9262663172,1.4190626301,0.6947164877,1.6357874944,0.1464021101,0.0032538259,0.0001165961,0.0167275797,4.33058652269957E-07
ADNP,-0.1199972837,-0.3456206979,-0.5332125449,-1.0208352894,-0.5120163101,0.776193271,0.0883134966,0.0075473348,0.0001082635,0.0002839597
ADNP2,0.1699479736,0.3840106323,-0.0895123592,0.0009730109,0.0049770506,0.5417640924,0.0383740881,0.7143740077,0.9977888735,0.9770333794
ADO,-0.2550457321,-0.4282133597,-0.5203162559,-0.5184931604,-0.540581969,0.3689670083,0.0544921594,0.0153229296,0.0193983388,0.0004012097
ADORA1,-0.9318201689,-0.8970143267,-4.22092637410998E-05,-0.6949405137,-0.3707474547,0.0185707881,0.0177440909,0.999864816,0.0559444699,0.0752977175
ADORA2B,1.3592450074,1.4953876644,2.2958619332,1.7272208801,1.5371905241,0.0014973739,0.0005538432,1.53481291546623E-05,0.000168592,4.67492499935144E-06
ADPGK,0.8489302294,0.5890984774,0.5891614583,1.1170921552,0.838079154,0.0128369406,0.0634512593,0.0473112033,0.0015068046,0.0002101607
ADPRH,0.1519617498,0.3921760301,0.3509456905,0.5672514351,0.4485253462,0.719246762,0.0803436567,0.092500427,0.0119181031,0.0015437844
ADPRHL1,0.3072994644,0.3575825551,1.5843578235,0.6903779052,0.5067287858,0.6202094675,0.4403192472,0.0003522277,0.0608761399,0.0187929697
ADPRHL2,-0.6270334499,-0.7500704833,-0.4304087036,-0.4352562352,-0.1005615745,0.1113998355,0.0399860586,0.2251908661,0.2451225122,0.6984884141
ADRA2A,0.4163487272,-0.092775353,0.0053937545,0.2884272911,0.542572464,0.0703794016,0.8159605908,0.9892774447,0.1853482528,0.0003229901
ADRB2,-1.7708941419,-1.5549932483,-0.7358183512,-1.2780348295,-0.9765744101,0.0013262769,0.0023215936,0.0893822505,0.0073874353,0.0011096662
ADRBK1,0.2502603229,0.4728634521,0.7127464211,0.3373537958,0.4208617232,0.2682746763,0.0150308289,0.000816629,0.0701025133,0.0007999062
ADSL,0.0872654824,-0.3047189902,-0.5203304289,-0.4224111798,-0.407651103,0.7892276003,0.0449115774,0.0014888952,0.0070516624,0.0001869386
ADSSL1,0.3395411914,1.1837134844,2.7599324085,2.0102387416,2.4892569516,0.3333540076,0.0004983717,5.75265242237421E-07,7.67470865429222E-06,1.08375426354134E-08
AEBP1,2.2828820069,2.5057629378,2.4050035044,2.4198696597,3.0520369265,0.0108802547,0.0045946342,0.0043601789,0.005220051,1.50134075296481E-05
AES,-0.6110772762,-1.067473517,-0.9629989327,-1.1727248808,-0.9824338723,0.0309785693,0.0007284885,0.0010909252,0.0003244661,1.57508273847531E-05
AFAP1,-0.5966299994,-1.233816214,-1.312625025,-1.3030715764,-1.4231954544,0.0844925331,0.0010022727,0.0004665531,0.0005998305,3.56341239183193E-06
AFAP1L1,0.0900897403,0.3680179862,0.7654715203,0.4177024582,0.3528966183,0.8107594615,0.0279088689,0.0001832853,0.0129620891,0.0010730424
AFF1,0.118025191,-0.1029589589,-0.5500715619,-0.1778090927,-0.4162383462,0.8352828537,0.8113557506,0.0154711018,0.5264743908,0.003717136
AFF2,0.4950600768,-0.7677331642,-0.6090931599,-0.6764770045,-0.6882973126,0.0187199839,0.0008696094,0.0030260837,0.0018605443,2.39464281874676E-05
AFF3,0.7536679212,-0.4372522563,-0.1425957806,-0.670090067,-0.4414756944,0.0005473141,0.0138651994,0.4490357816,0.000798356,0.0002845923
AFF4,0.3035233556,-0.1540443721,0.066454324,-0.3125087115,-0.5099206232,0.2876240832,0.6646981269,0.8569058818,0.1902102896,0.0009756267
AFG3L1,-0.0338600344,-0.2062995896,-0.3932965337,-0.3087352643,-0.2817769401,0.9676751401,0.3831797619,0.0368172514,0.1168201914,0.0146361183
