GeneID,D1.log2fc,D3.log2fc,D6.log2fc,D10.log2fc,D14.log2fc,D1.adjPval,D3.adjPval,D6.adjPval,D10.adjPval,D14.adjPval
RAP2B,-0.0345075045,-0.159783285,-0.2274097295,-0.2367524873,-0.2661924639,0.9457921523,0.3233056517,0.0872276505,0.0892251775,0.0025213653
RAP2C,0.2416563485,0.9494956036,0.6735385716,0.6890542182,0.420224391,0.3139481765,0.0001741663,0.0014598841,0.0015341126,0.0009832483
RAPGEF2,-0.1370664359,0.2024839953,0.1570484996,0.3568284589,0.4445637657,0.5569255677,0.2141739659,0.3073503318,0.0190235698,0.0001000733
RAPGEF3,-0.1273778959,-0.1921304031,-0.0512099562,-0.3717720324,-0.1434579891,0.637877994,0.279991247,0.8337509697,0.0199069481,0.1121908883
RAPGEF4,0.5358814907,0.3227865648,0.1025070318,0.3570390352,0.1047626717,0.0139769434,0.119024153,0.6981487415,0.072087318,0.3993814871
RAPGEF6,0.479923986,0.3671598659,0.4068683428,0.2401286282,0.1155958759,0.0481087168,0.1177467908,0.058837348,0.3282621555,0.4146656103
RAPGEFL1,0.2855404822,0.4311355476,0.6266249218,0.3929969542,0.3043725763,0.2741638005,0.0494210581,0.0048073778,0.0667671307,0.0158585103
RAPH1,0.7839997538,2.1834578791,1.9089762737,1.6363401271,1.5063195301,0.0009480842,2.71374104414006E-07,5.78321489575826E-07,0.000002227,3.27191760160162E-08
RARA,-0.2355411,-0.7138961119,-0.6288376703,-0.9725448198,-0.6060998626,0.6683828271,0.0234789784,0.0327394684,0.00349776,0.0019830443
RARB,-0.0051919102,-0.1245668092,0.5597573371,0.8707783512,1.1290242883,0.9980884213,0.8060675124,0.033663094,0.0034935855,7.03089020433841E-06
RARRES1,-0.3790819751,-1.0379585081,-2.0228470552,-1.9416154494,-2.0707899079,0.7790565115,0.1105623999,0.0025443469,0.0041326666,4.36329476449777E-05
RARRES3,-1.7873756427,-2.2481865052,-2.2142155702,-2.1844102392,-2.1745693001,0.0022684559,0.0003309644,0.0002657011,0.0003563405,4.27618959097765E-06
RARS,0.2533298581,0.2951391789,0.3599014679,0.0218597983,-0.0127863332,0.2631468264,0.1335330659,0.0451301494,0.9536194554,0.9394669144
RARS2,0.044328769,0.4987575419,0.7111876035,0.7752107914,0.9271755207,0.9627415142,0.0355953178,0.0035115773,0.0024921732,8.99864791987883E-06
RASA1,-1.6138697246,-1.5057357342,-1.0977621509,-1.4862965294,-1.2865140443,7.18911201827357E-06,8.20731137077153E-06,6.43603754580836E-05,7.38612941114286E-06,1.99087928724942E-07
RASA2,0.0278882353,-0.1053586501,-0.068715341,-0.1883326533,-0.3421049524,0.9710269803,0.7123760469,0.7908148061,0.3298915269,0.0023874804
RASA4,0.3875044908,0.4372372738,0.053255674,-0.0082182092,0.4067856408,0.1762296921,0.0906460951,0.9001276979,0.9876841873,0.0072913352
RASA4P,0.59803477,0.306262415,0.6940185965,0.5215219653,0.7536264747,0.0229396964,0.2585022387,0.0054519678,0.0325167895,7.13224374817922E-05
RASAL1,0.1481936299,0.0411344135,0.0325093232,0.2111034943,0.1888697026,0.4648758874,0.8940271165,0.8916375814,0.1449076336,0.023256701
